,German_Raw,German_Code,SoldAfterDays,CountEntity,Average Amount,German_Code_Parent,Code,Title,Imagefile,Rank_SoldAfterDays,Rank_CountEntity,Rank_Average_Amount,Score
95,Natural stone slates,Pr_25_93_72_57,29.8,5,762.5,Pr_25_93,Pr_25_93,Unit skin products,"[['78e708cb-fe940960-2ad9-4651-b132-c6e70f1659d8.jpeg'], ['393b7312-20191106_120006-scaled.jpg'], ['ec3797a5-20191106_115941-scaled.jpg', '23959681-20200506_112134-scaled.jpg'], ['726fa512-sandsteinplatten-1-scaled.jpg'], ['b9fb0060-6d63aceb-76cb-4a4b-a667-968cb4a26cc2-scaled.jpeg.webp']]",1.0,28.0,6.0,11.666666666666666
96,Marble dust,Pr_20_31_35_50,31.0,4,435.6666666666667,Pr_20_31,Pr_20_31,Formless structure and general products,"[['49b2569a-f346b412-ab0f-49b3-a2fb-4329afe070b9-scaled.jpeg', 'aab5f5d2-28d4ef10-5790-4aff-a103-a5580a87064d-scaled.jpeg'], ['816d6d6e-img_20220305_085801-scaled.jpg'], ['bd36f394-image_3f01fbdd-570f-4094-afce-e5384d79c757-scaled.jpg'], [], ['7f7fa61f-kh9ee2lu.jpeg', 'b823d5f1-20220512_152858.jpg']]",4.0,33.0,9.0,15.333333333333334
9,window,IfcWindow,45.16822429906542,107,31.22,IfcWindow,,,"[['fee8afbb-4fa66919-d943-468f-9337-491bbc34da8e.jpeg.webp'], ['fab2997a-img_20230228_124702-scaled.jpg'], ['ec79768c-5e4bb29b-596e-482b-a64a-5a9e025f6a75-scaled.jpeg'], ['56b5117c-img_20220911_103725-scaled.jpg'], ['c6393a6f-fenster-11-scaled.jpeg', 'fc90d4cf-fenster-1-scaled.jpeg', 'a265ab98-fenster-1-scaled.jpeg', '82ca8441-fenster-1-scaled.jpeg', '7eea679e-fenster-1-scaled.jpeg'], ['ffb1d948-1d267ed8-b91d-4f65-a0cd-cb39efb6d6a6-scaled.jpeg'], ['21d6b830-dsc_6361-scaled.jpg', '7c7183de-dsc_6367-scaled.jpg', 'b410abb9-dsc_6365-scaled.jpg', 'e575cc3f-dsc_6359-scaled.jpg'], [], ['17ceafa7-img_5255-scaled.jpg', 'c6e1a457-img_5261-1-scaled.jpg', '55a48ecf-img_5258-scaled.jpg'], [], ['063ab8be-3a43fa79-8a66-471d-99b3-c0333479651b-scaled.jpeg'], ['45bf3dbd-1.png', '91a22c4b-2.png', '1996387e-fenster.jpg', '7c53737f-fenster-e_.jpg', 'dd219aaa-fenster.2.jpg', 'e5e91a72-fenster.5.jpg', '4f1aa3b0-fenster.4.jpg', 'c35a5823-fenster-c.jpg'], ['48a49257-63c2eec0-fbdf-47a3-8ecd-eb80ad99a1f3-scaled.jpeg'], ['4d78a033-6f6c360d-53ba-4da1-a9fa-fc1dcb93678f-scaled.jpeg'], ['f4e06eb6-20211226_145400-scaled.jpg', 'fd4ccb94-20211226_145528-scaled.jpg'], ['aa09ed6a-856e28e0-a1b5-4978-a8d4-7553bbbeca5d-scaled.jpeg', '5264f2d2-e4c31702-381f-4431-b569-b6ffdaf5d461-scaled.jpeg', 'ef01982a-52a8d7c8-7d70-43bd-8ced-7675ac522403-scaled.jpeg'], ['14774e01-20210220_092207-scaled.jpg'], [], ['8edf8198-210962.jpg'], ['130eae72-cb51f898-bd28-45f3-93fc-c28fa8d0ce16.jpeg'], ['aeb2b110-9e4c5490-3015-4b64-8c81-be13eee4a431-scaled.jpeg', '171fd2e1-abkv3dejl8e6aaaaaelftksuqmcc.png', 'a8b0a283-bfbdd9a4ahycdonlgrcswmrp0fiuhr6akagxbqiulcu0bj4iwdl2fsjmbueamqjz6wxdvxyimwrht8kzk5a6ucep5pm55ek5nq64aaaaasuvork5cyii.png'], ['0d770d41-20210724_113213-scaled.jpg'], ['1a28764d-20210626_102629-scaled.jpg'], ['3774bc06-img_20210428_172614-scaled.jpg', '1b144995-img_20210428_172619-scaled.jpg'], ['8de79a0b-20210401_192311.jpg'], ['71760025-044db424-c482-40fb-9250-971349fff18c-scaled.jpeg'], ['602616c3-img-20210227-wa0023.jpg', '1f6ce83f-img-20210227-wa0023.jpg', '5c4da858-img-20210227-wa0023.jpg'], ['566bcee7-fnst4.jpg', 'c359b631-fnst1.jpg'], ['d684c06a-faf63243-e4bc-4be1-9cdd-f4cfc2e6090b.png', '7281b7d9-ca72cede-44c2-4a93-99d3-9ec6886c00e2.png', 'f7890ee8-c075a811-d065-4713-916f-78bcfe189bbc.png'], ['2511ac1b-img_3355.jpg', '35d9c102-img_3383.jpg'], ['a07737ff-img_3386.jpg', '1f70f2fa-img_3355.jpg'], ['b8265359-img_3355.jpg', '8ab9f615-img_3383.jpg'], ['418353a4-img_3364.jpg', 'cb94e00b-img_3355.jpg'], ['22091cec-fenster.jpg', '55bdb378-holzfenstercsp44079958.jpg', '64f86285-kunststofffenstercsp6386176.jpg', 'c746bfcd-fenster.jpg'], ['e1006577-fenster6.jpg'], [], ['e1006577-fenster6.jpg'], [], ['66dfaa40-20170128_130134-scaled.jpg'], ['643c72e4-20170205_131819-scaled.jpg'], [], ['8d608fb4-0-scaled.jpg', 'cae818df-20230722_masszeichnung.png'], ['4a604c01-20230710_191547-450x253.webp', '111f7d06-20230710_191541-scaled.jpg', '63f65cdf-20230710_191559-450x253.webp'], ['b7903039-img_4745-450x338.webp'], [], ['Screenshot_20231211_020803_Kleinanzeigen-1-202x450.webp'], ['IMG_2968-450x338.webp'], ['cafc1fae-whatsapp-image-2023-07-07-at-12.11.29-1.jpeg', '94856c84-whatsapp-image-2023-04-25-at-18.00.21.jpeg', '9ae92978-whatsapp-image-2023-07-18-at-21.34.39.jpeg', 'c884ee6d-whatsapp-image-2023-07-18-at-21.34.10.jpeg'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['2b7fc11b-20201004_200742-scaled.jpg'], [], ['3dc647f1-img_1599462021057_38237.jpg', 'bdadd0e2-img_1599222995515_83334.jpg'], [], ['3ff5b799-20200823_164537-scaled.jpg'], ['7074fea6-628dd8ed-8f10-482a-9de3-c2d2aa3732af.png', '6dd7de6f-545f0c75-d6ff-49eb-910b-f0308206b125.jpeg'], ['834cbcc8-img_1757.jpg.webp', '98857fa4-img_1760.jpg.webp'], ['72d61b52-img_20191212_144118-scaled.jpg.webp'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['a72972a7-a802fa7b-e923-4424-82df-6a17a0320ee5.jpeg', '69360824-2649911b-7308-4448-ab54-5085b7d9fdd9.jpeg'], ['88c787ca-img_20210814_072405967_hdr-scaled.jpg'], ['892e1841-img_1112-scaled.jpeg', '8850af3e-img_1062-scaled.jpeg', '9de5bdfe-img_1071-haustuer-vorne-scaled.jpeg', '3d4b0342-img_1808_fenstwr-mit-sandsteinpfosten-scaled.jpeg', 'd51f030c-img_1796-scaled.jpeg'], ['e2641424-screenshot_20230417_110114.jpg', '7eb2c024-screenshot_20230403_092330.jpg', '07df558d-screenshot_20230403_095810_com.ebay_.kleinanzeigen.jpg'], ['96f8f05c-whatsapp-image-2023-03-24-at-13.34.43.jpeg', '5a5c6cd2-whatsapp-image-2023-03-24-at-13.34.43-1.jpeg'], ['cd035fd9-img_20211011_140849.jpg', '5068fc04-img_20220525_113949.jpg'], ['da6be607-0235ee41-5441-4d46-b79d-0e943ea80d85.jpeg'], ['7b83aeb9-4ed0c195-30a0-4aba-b3f7-ab08cb332ae6-scaled.jpeg'], ['ec79768c-5e4bb29b-596e-482b-a64a-5a9e025f6a75-scaled.jpeg'], ['82c6f4a5-1691474742683-01-282x450.webp', '51d02834-1691474711274-01-259x450.webp'], ['21d6b830-dsc_6361-scaled.jpg', '7c7183de-dsc_6367-scaled.jpg', 'b410abb9-dsc_6365-scaled.jpg', 'e575cc3f-dsc_6359-scaled.jpg'], ['cafc1fae-whatsapp-image-2023-07-07-at-12.11.29-1.jpeg', '94856c84-whatsapp-image-2023-04-25-at-18.00.21.jpeg', '9ae92978-whatsapp-image-2023-07-18-at-21.34.39.jpeg', 'c884ee6d-whatsapp-image-2023-07-18-at-21.34.10.jpeg'], ['0d0308e9-img-20230618-wa0009.jpg'], ['643c72e4-20170205_131819-scaled.jpg'], ['66dfaa40-20170128_130134-scaled.jpg'], ['f83c3048-20230709_082034-scaled.jpg', '57e9b22c-20230709_081742-scaled.jpg'], ['4a604c01-20230710_191547-450x253.webp', '111f7d06-20230710_191541-scaled.jpg', '63f65cdf-20230710_191559-450x253.webp']]",21.0,1.0,28.0,16.666666666666668
29,quay,IfcMarineFacility.QUAY,38.4,5,211.25,IfcMarineFacility.QUAY,,,"[[], [], ['73ed0408-img_20200925_082304146-scaled.jpg'], [], [], ['c5120775-20200508_163901-scaled.jpg'], ['23d7f210-20221122_123614-scaled.jpg'], [], ['44d57b51-daemmrolle-scaled.jpg', 'af52b22c-daemmrolle-werte-scaled.jpg'], ['1d7bc088-c041e36f-267f-4cf3-908d-07d3c4a5e7a8-scaled.jpeg'], ['53de4afd-granitborde.jpeg'], [], ['4b03f48b-prima-daemmschuettung-100-l.jpg', 'bb601726-image_db157c3d-2623-4037-af5a-5e38ffd6c1c7-scaled.jpg'], ['12d46dbd-c6bc4d48-2e7e-400d-aa6f-e4761a8b61df-450x323.webp', '8ede1bb3-e4f5baa7-9996-472f-a0ed-8a3f6653fa24-450x323.webp']]",9.0,28.0,17.0,18.0
16,staple,IfcMechanicalFastener.STAPLE,50.15384615384615,13,321.5,IfcMechanicalFastener.STAPLE,,,"[[], ['0f699a93-img_7610-scaled.jpg'], ['4ad816c1-1-scaled.jpg'], [], ['2a9f0a5b-fensterbild.jpg'], [], [], ['56e2021d-fss-0-45.jpg', '9008f437-fss-0-45-nah.jpg'], ['bfe7cef0-s-l1600-12.jpg'], ['7f0de03d-00200_produktbild_165-203_700x700-1.jpg'], [], ['6e7c04f5-20220304_163932-scaled.jpg', 'c681bf8b-20220304_163403-scaled.jpg', '707db993-20220304_163629-scaled.jpg'], [], ['39e5bd32-waschtischplatte-komposit-3-becken-naturstein-abgebaut.png'], [], [], [], [], ['81e9958f-20220118_150506-scaled.jpg'], [], [], [], ['368e5bec-img_20230119_132537-scaled.jpg', 'e4f5e290-img_20230117_101621-scaled.jpg'], [], ['a16a9cc5-briefkasten-2.jpg', '4c2426fa-briefkasten-1.jpg', '660b018f-briefkasten-3.jpg', 'ffacb447-briefkasten-4.jpg'], [], ['d5d6ce45-whatsapp-image-2020-03-13-at-4.36.14-pm.jpeg.webp'], [], [], ['3c424fe0-ce97445a-3746-4212-a67b-e756025f6841-scaled.jpeg', '83992b63-c60a51d4-2264-4731-b3b4-5ebb57f4f87e-scaled.jpeg', 'e74df2d3-b7d1c15c-92ce-4f7b-8f2e-073456e70c4c-scaled.jpeg'], ['cda06f55-img_0959-scaled.jpg'], ['497fccd3-1.jpg', '62ec1003-1-1.jpg'], ['280e774a-20230420_203317-scaled.jpg'], ['454ccc2c-img_3815.jpeg', '065b2037-6b52-40e2-ad4a-ec300cae46ae.jpeg'], ['5c9e13b2-0c21-4cbd-9714-0d3af1133b41.jpeg'], ['09873cfe-20220722_132209-scaled.jpg', '53daf2cf-20220722_132220-scaled.jpg'], ['87672960-whatsapp-image-2022-07-18-at-13.10.39.jpeg'], ['27776945-59.jpg'], ['1c12c9eb-57.jpg'], ['d06aff78-lamellen-scaled.jpg'], ['c381da10-image-scaled.jpg'], ['0faf8c48-img_7723-scaled.jpg'], ['07cebaaf-image-scaled.jpg'], ['dd15b974-dscf6127.jpg.webp'], [], [], [], ['ed235ae2-doppelstabmattenzaun-6-scaled.jpg'], ['b6b07789-pflaster.jpeg'], [], [], ['31d9adef-1-scaled.jpg'], ['cfaade64-z_schnitt_profil.gif', '2ce51abd-20230611_092419-scaled.jpg'], ['9452f85e-ristuck.jpeg'], ['e51dba6d-tuerwc-scaled.jpg'], ['88cc3590-whatsapp-image-2023-08-11-at-09.08.14.jpeg', '4836ed40-whatsapp-image-2023-08-11-at-09.08.221.jpeg'], ['15a6d139-1690101309238-scaled.jpg'], ['0da36009-bild-4.jpg', '6405bceb-bild-1.jpg', '15b4db9a-img_3170-rotated.jpeg'], ['2e1b090a-20230923_183630.jpg', 'c9d30249-20230923_183622.jpg', '82124c96-20230923_183613.jpg']]",30.0,14.0,14.0,19.333333333333332
7,Wood window walls,Pr_30_59_99_96,43.36363636363637,11,27.3,Pr_30_59,Pr_30_59,Openings and opening component products,"[['043dacb7-jugendstiltuer1.jpg'], ['1c37b481-10.jpg.webp', '6c93e44d-7.jpg.webp', '94d9032f-4.jpg.webp', '20f5c8b5-1.jpg.webp'], ['91322577-a1d09cf2-6f37-470a-9144-64dd3d3ac2c0-scaled.jpeg'], ['1b4a6ba4-26af3265-9eed-4853-8875-2a1fc58d4aed-scaled.jpeg', '457dfded-79c872a3-091a-454c-9b18-78f5ff3a9f89-scaled.jpeg'], ['bc314df8-img_5142-scaled.jpg', '34147841-img_5182-scaled.jpg', '493ba6a6-p1040677.jpg', 'd46726d9-img_5615-scaled.jpg', 'c3bdf22f-img_4826-scaled.jpg'], ['89cf7d7d-20210809_161931-rotated.jpg'], ['154f23d0-dscn1072-scaled.jpg'], ['fb65dcb8-image006-1.jpg', '2f699db3-image001-1.jpg'], [], ['ca15a5fa-img_4107-scaled.jpg'], ['3b8b57bc-img_20200818_112855-scaled.jpg'], ['368cbe6a-p1070861-scaled.jpg', '5af25f17-p1070860-scaled.jpg', 'a2192728-p1070862-scaled.jpg'], [], [], ['3dd30452-fenster04.jpg', 'cca2142c-fenster01.jpg'], ['beb89c9b-1691474767591-01-450x389.webp'], ['14c3e348-4dff-40be-b027-c064c99dea2a.jpeg', '56b95dd1-fenster-3.jpeg', '86de6016-b4a5-4e9e-aab8-e27b598842e9.jpeg', 'df2213bc-cb43-4c6d-8eb9-dd1dbbac02da.jpeg', '9dc46275-4d7f-4789-8aaf-bf0f73984a5b-450x338.jpeg', '8800b351-fenster-2.jpeg', '488e26aa-43e1-45ee-8e7c-d098988ff8af.jpeg', 'cb9601f2-fenster-1.jpeg', '60808f1d-bf3f-4656-a31e-e843824ec064.jpeg'], ['b5aca121-img_2636-scaled-338x450.jpg', '87898990-img_2637-scaled-338x450.jpg'], ['4600e8d4-img_8415-scaled.jpg', '744e76df-img_8414-scaled.jpg', 'd290c0b4-img_8413-scaled.jpg']]",14.0,17.0,29.0,20.0
10,Grommets,Pr_20_29_60_34,69.96078431372548,51,241.60416666666666,Pr_20_29,Pr_20_29,Fastener products,"[[], ['45a938d9-4-scaled.jpg', '3111045d-grosse-tuer-scaled.jpg', '6eadd7db-3-scaled.jpg', 'c8a9d7f3-20230218_093109-scaled.jpg'], [], [], ['f97be933-fenster_gaube.jpg'], ['e0d35191-fac9d59e-3e12-40ad-8073-d9bd4157d5fd-scaled.jpeg'], [], [], [], ['a0338985-20221220_100754-scaled.jpg'], ['6106dc91-img_7495.jpg'], ['a6842051-img_7496.jpg', 'f77eb538-img_7495.jpg'], [], ['f74281f6-fenstergitter-gross-scaled.jpg', '6d89ed00-fenstergitter-gross-scaled.jpg'], [], ['d13dc98e-bimurosteine.jpg'], [], ['2c2be74b-20210818_135958-scaled.jpg'], ['53b5e171-img-20230416-wa0014.jpg'], ['26e91d16-61-1.jpeg'], ['5351bb00-61.jpeg'], ['4c8af831-s-l1600-3.jpg'], ['c1faebb7-s-l500-4.jpg'], ['130587c3-s-l500-3.jpg'], ['eb6d7d1b-img_5096-scaled-e1575756203530.jpg'], ['81f4e7a2-img_20200616_190335-scaled.jpg'], [], [], [], [], ['14766446-shpock_image_1608746689022.jpg', 'd6f8f53f-shpock_image_1608746726370.jpg'], [], [], [], ['e0d65987-20220316_075717-scaled.jpg', '9e39d715-20220316_075717-scaled.jpg'], ['e2938cf2-img_1164.jpeg'], ['90976592-image_3481c5ae-238c-4654-9cb4-8910e3523471-rotated.jpg'], ['ef80568d-sparren-scaled.jpg'], [], [], ['a286e330-heizkörper-scaled.jpg'], ['a1735f13-röhre-scaled.jpg'], ['adeeb3d7-heiz-scaled.jpg'], ['9f53fd67-heiz-scaled.jpg'], ['b6d59c2e-heiz-scaled.jpg'], ['816e799a-heizkung-scaled.jpg'], ['b603f074-heizk-scaled.jpg'], ['0175c14f-heizkkk-scaled.jpg'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['9f53fd67-heiz-scaled.jpg'], ['9b0ae18a-ziegel-riemchen_variation_neu_klinker_wand_barrio-alto_d0798ac7-ff23-41fb-8e8c-29b73c0f609e.jpg'], [], ['e06e1ab2-img20230423110707.jpg'], ['26463087-2023-01-3010.33.111837845497322650479-scaled.jpg'], ['879605c0-be522092-7ca4-4cb4-9323-0cc6ef0a94a6-scaled.jpeg'], ['f9d38e81-stobrick-porig-.jpg', '516fc3f1-sto-brick-porig.jpg'], [], [], [], [], [], ['523ecdf9-kachel-mit-messingstuetzen-rotated.jpg'], ['4565392f-0f1ef70c-fa30-4c6d-9248-35282799ee15.jpeg', 'ec400d3e-6fff6d07-750a-43d7-a21c-2e7290d3be58.jpeg', '4039d2c0-f201e42a-0dc9-493e-bcda-22bb29812b24.jpeg'], [], ['081fe671-7d39d4bc-ad90-4267-ae77-8fddbf9708ca-scaled.jpeg'], [], [], [], ['b167521d-flachstahlgelaender-gelaender-12050m-stabgelaender-ausgebaut.jpg'], ['2616c5c8-1abb9499-4485-4ced-ace3-dc1fd9c8bd4c_1_105_c.jpeg', 'fa363ee5-fac35ebe-b90f-4d16-9276-6466159c0a2c_1_105_c.jpeg', '3e16df05-9c9ccfa4-7cf8-4b8a-bc56-ad1257707468_1_105_c.jpeg'], [], [], ['3169f9ae-whatsapp-image-2021-09-30-at-10.05.23.jpeg'], ['d434ba23-20200722_084845-scaled.jpg'], ['339e2505-p1130726.jpg', 'a06f6131-blech.jpg'], [], [], ['7c4f7b4c-img_1797.jpeg'], ['3f1d09aa-20230509_140042-scaled.jpg', '44dc0f57-2023-06-14.jpg'], ['52848581-image_5355d8de-25f0-4e95-87d4-f48f5eff892a-scaled.jpg'], ['324c0c14-image-scaled.jpg', '1f13a61c-2eb2b29c-9344-499d-bc7b-ea4c3f473e8f-scaled.jpeg'], ['d7ce8051-murowanie3-—-kopia-—-kopia.jpg']]",42.0,4.0,16.0,20.666666666666668
90,Plaques,Pr_40_10_77_63,78.8,10,8993.0,Pr_40_10,Pr_40_10,Signage products,"[['8a7bdd6c-903164f1-b9a4-440c-ae58-e910098d1929.jpeg'], ['e72cd028-h246egxtszuuydf16ggoaq-scaled.jpg', 'ac709e93-xjqsmuxrscmaq4uwwmsooq-scaled.jpg'], [], ['7060944e-screenshot_20220221-190908_android-system.jpg'], ['a43a532c-20220402_112926-scaled.jpg'], ['86ee14e2-s-l1600-32.jpg'], ['aa3b2ee7-marmorboden01-4-scaled-1.jpg', '1c2101d3-marmorboden01-1-scaled-1.jpg'], ['96bb0278-e3420c3f-f2c5-4c22-8230-dae872ff3537-scaled.jpeg'], [], [], [], ['b0a305ca-5106f07e-140c-4568-a9bc-a126a0414497-scaled.jpeg'], ['ac1bd1be-granitbank1-scaled.jpg', 'ee02853c-granitbank1-scaled.jpg'], ['4b001456-img_7151.jpeg'], ['56908d5a-57-2.jpg', '75585c76-img_2022.jpeg', 'a01087ea-57-5.jpg', '2bb1a596-img_2019.jpeg'], ['cbd93407-trespa-1-scaled.jpg', '2ca120c9-trespa-3.jpg', '138a7afe-trespa-2-scaled.jpg']]",46.0,20.0,1.0,22.333333333333332
44,Plastics window films,Pr_25_57_51_60,42.22727272727273,44,2.1951219512195124,Pr_25_57,Pr_25_57,"Non-rigid sheet, mat and strip skin products","[['cc864030-20230211_1151001-scaled.jpg', '17f6e8dc-20230211_1151361-scaled.jpg', '7a0712f7-20230211_1152291-scaled.jpg', '9a439e00-20230211_1214041-scaled.jpg', 'b6f24c54-20230211_1152141-scaled.jpg', '338f3ef7-20230211_1214281-scaled.jpg'], ['a5432266-img_0154.jpg'], ['35ae6d61-fenster_1.jpg', '3179b23c-fenster_2.jpg'], ['315775c0-000afd3a-a35c-4100-9b4d-c93dd9a1e331.jpeg', '37995c12-53d5e8e8-a930-4c98-8aa6-0616c0a40185.jpeg', '28346629-0f9152cd-c9d3-422c-8cc3-cf40457dadd1.jpeg', '116f33ac-938c7d27-7b26-40bb-ab3e-0d43114db533.jpeg', '8116786d-f28a1e05-0076-4a13-834e-c13f77839bb4.jpeg'], ['da6a183f-16600602024033406695983330210799-scaled.jpg'], [], ['b8a95d18-screenshot_20220803-083201_adobe-acrobat.jpg'], ['b7a18761-screenshot_20220803-083201_adobe-acrobat.jpg'], ['b4ce6850-img-20220313-wa0010.jpg', 'b9c829fb-img-20220313-wa0009.jpg', 'a02e1545-img-20220313-wa0011.jpg', 'c41de3b7-img-20220313-wa0012.jpg'], ['62974da4-img_20210715_190734-scaled.jpg', 'affe6ba5-img_20210715_190842-scaled.jpg'], ['7af192e9-pxl_20211126_132333272-scaled.jpg'], ['1831d842-pxl_20211126_132455191-scaled.jpg'], ['a77879a1-pxl_20211126_133452588-scaled.jpg'], ['ed09acb4-pxl_20211126_131113433-scaled.jpg'], ['82c636cc-pxl_20211126_141836542.mp_-scaled.jpg'], ['ebd4b909-pxl_20211126_133128705-scaled.jpg'], ['9bf9f00a-fenster-scaled.jpg'], ['0ce055d6-fenster-dinr-scaled.jpg'], ['2dc6b851-4d519211-d5fa-45d7-b937-574896ebf249.png'], ['3b7ecf09-img_0163-scaled.jpg', 'e14e434d-img_0166-scaled.jpg', '45058157-img_1328-scaled.jpg'], [], ['07e0c964-fenster--338x450.webp', '5d989b10-fensterbank--450x338.webp'], [], [], [], [], [], [], [], [], [], [], [], [], [], ['8eb0f3cb-img_0564-scaled.jpg', '78ab1f41-img_0567-scaled.jpg.webp'], [], [], [], [], [], ['025d161e-img20230224120000-scaled.jpg', 'c4d63913-img20230224115858-scaled.jpg'], ['95e87935-pxl_20230116_163356734-scaled.jpg', 'a0d2585f-pxl_20230116_163356734-scaled.jpg'], ['004651b2-16508969450866486755082929840103.jpg'], [], ['a2e0072f-img_8174.jpeg', 'cffc7f32-img_7863-scaled.jpeg']]",12.0,5.0,52.0,23.0
8,balustrade,IfcRailing.BALUSTRADE,92.38888888888889,18,690.6111111111111,IfcRailing.BALUSTRADE,,,"[['756e4668-8e274fbb-bd56-42ad-a5ed-cfe488a81e21.png', '1adbbbf6-7dca1090-acd2-416c-b7ff-34b7db71280f.png', '47677f96-f4214c7b-0295-46c0-9bb6-3958fa68b9fd-scaled.jpeg', '6bdd2aec-114d567e-2fbf-46ac-a8b5-962388380a66.png', 'cb4b2afa-2a8d7e9e-1156-473a-8db5-f0b2919576a7.jpeg'], ['9d369ce9-img_20200801_162737-scaled.jpg', '666e04cd-img_20200801_162721-scaled.jpg', '1a1c6158-img_20200801_162608_1-scaled.jpg'], ['f3820a35-img_20200801_162721-scaled.jpg'], ['95f5d842-4786adb8-16ed-469c-8da4-39093a1b4769.png'], ['6e9d3f53-20210914_110718_hdr-scaled.jpg'], [], [], [], ['522fe4fc-0953df2d-eb7d-473b-a18a-c49b6c9ba2d4.jpeg', 'b8b03017-b97b1992-027a-4698-8c2d-d94b1b71f6c3.jpeg', '7b21a727-ofxqvlxwlivlgaaaaasuvork5cyii.png'], ['36a6dd53-207290018_199436222061998_6019246728558736550_n.jpg', '8ac35b8c-205124283_134383512124826_4738576618632723441_n.jpg', 'ed804ea2-205436075_364863911643496_906175209275886744_n.jpg'], ['443da155-img_4735-scaled.jpeg'], [], [], [], [], ['e42a7905-1.jpeg'], ['8f194bca-bild-2-scaled.jpg'], ['4975c0ca-120b5676-8447-4502-9c0e-d3b21c37eb99-scaled.jpeg'], ['5d50eb12-img_5256-scaled.jpg', '3646d5a1-img_5249-scaled.jpg', '3664f2aa-img_5254-scaled.jpg', '581077ea-img_5253-scaled.jpg'], [], [], ['8789c726-img_20210912_180621.jpg'], [], ['396188aa-img_7060-scaled.jpg', 'b8a3a90e-img_7055-scaled.jpg'], ['58f2dddc-img-20200416-wa0005.jpg.webp'], ['0f8e72e6-img-20230317-wa0003.jpg'], ['08d464dc-img_1392.jpeg'], ['74754f89-004-scaled.jpg', '039d9f8d-001-scaled.jpg'], ['cda4bdd7-77654f56-b952-47b8-bfd9-7e1e165733a8-scaled.jpeg'], ['e276dc13-bild5-337x450.webp', 'd62b3277-bild2-337x450.webp'], ['0b57fe13-20230715_114111-scaled.jpg', '0cf8d3e2-20230715_114117-scaled.jpg', 'daaa39c5-20230619_141018-scaled.jpg', 'ac4b4660-20230619_140952-scaled.jpg', '2c2410a5-20230715_114121-scaled.jpg', '7c95ed2e-20230715_114132-scaled.jpg', 'dc92919a-20230715_114155-scaled.jpg', '6caecd05-20230619_140959-scaled.jpg', 'd563a023-20230619_141008-scaled.jpg', '2339caec-20230715_114127-scaled.jpg']]",53.0,10.0,8.0,23.666666666666668
92,Natural stone quoins,Pr_25_93_51_58,52.09090909090909,11,85.2,Pr_25_93,Pr_25_93,Unit skin products,"[['c50adbb7-20220226_141057-scaled.jpg'], ['64e859f4-afbbba5a-770b-434b-8859-5ffd21296197-scaled.jpeg.webp'], [], ['c2e5866d-s-l500-3.jpg'], ['16553814-s-l500-7.jpg', 'a4ce988a-s-l500-6.jpg'], ['1ba60d63-img_7561.jpg'], ['f97ca34a-s-l500.jpg'], ['2be1c9ae-00176_produktbild_165-203_700x700.jpg'], [], ['fed0fdd7-w1001157-04.jpg', '886a0c6d-w1001157-01.jpg'], ['dded2394-schild_60_8rollen-scaled.jpg', '89ab861f-schild_200_14rollen-scaled.jpg'], ['94120b14-img-20211103-wa0007.jpg', '602c9330-20211117_112817.jpg', '8d6ef33e-20211117_113051.jpg', '91bd1bcc-20211117_112635.jpg', '07bbc7ce-20211117_112929.jpg', 'ece4f453-20211117_113153.jpg'], ['1d867b9a-isover-fsp-031.png'], ['24696de0-img_1507-scaled.jpg'], [], ['37602f89-gurtgesimssteine-ca-45-70-cm-lang-ca-12-m-gesamtlaenge-scaled.jpg', 'd5db2647-gurtgesims-querschnitt-2-scaled.jpg'], ['b0e3653a-s-l1600-36.jpg']]",33.0,17.0,23.0,24.333333333333332
97,Glazed structures,Pr_20_65_34,38.0,3,110.0,Pr_20_65,Pr_20_65,Prefabricated buildings and structures,"[['64e44a31-20211222_083111-scaled.jpg'], ['2cf0a9ee-glasbausteine-sehr-schoen-4.jpeg', '7be13db7-glasbausteine-sehr-schoen.jpeg'], ['e2712ee2-glasbaustein_wie_neu-scaled.jpg']]",8.0,46.0,20.0,24.666666666666668
